ID;Award;Artist;Title;Certification date;Label;Format;Release date;Category;Type;Certified Units;Genre
108731;Diamond;J BALVIN & WILLY WILLIAM;MI GENTE (FEAT. BEYONCE);October 29, 2018;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;June 30, 2017; None;Latin;4.08 Million ;LATIN
108805;Platinum;A$AP ROCKY;PRAISE THE LORD (DA SHINE);October 29, 2018;A$AP WORLDWIDE / POLO GROUNDS MUSIC / RCA RECORDS;SINGLEMORE DETAILS ;May 25, 2018;SOLO;Digital;1 Million ;R&B/HIP HOP
108774;Platinum;A$AP ROCKY;EVERYDAY;October 29, 2018;A$AP WORLDWIDE / POLO GROUNDS MUSIC / RCA RECORDS;SINGLEMORE DETAILS ;May 8, 2015;SOLO;Digital;1 Million ;R&B/HIP HOP
108792;Platinum;A$AP ROCKY;L$D;October 29, 2018;A$AP WORLDWIDE / POLO GROUNDS MUSIC / RCA RECORDS;SINGLEMORE DETAILS ;May 21, 2015;SOLO;Digital;1 Million ;R&B/HIP HOP
108812;Gold;JASON DERULO;TIP TOE;October 26, 2018;WARNER BROS RECORDS ;SINGLEMORE DETAILS ;November 10, 2017;SOLO;Digital;0.5 Million ;POP
108813;Gold;ALL THAT REMAINS;TWO WEEKS;October 26, 2018;RAZOR & TIE;SINGLEMORE DETAILS ;September 18, 2008; None;Digital;0.5 Million ;ROCK
108822;Gold;MAC MILLER;GO:OD AM;October 26, 2018;WARNER BROS RECORDS ;ALBUMMORE DETAILS ;September 18, 2015;SOLO;Standard;0.5 Million ;R&B/HIP HOP
108825;Gold;RAE SREMMURD;SR3MM;October 26, 2018;EARDRUMMER RECORDS / INTERSCOPE RECORDS;ALBUMMORE DETAILS ;May 4, 2018; None;Standard;0.5 Million ;R&B/HIP HOP
108808;Platinum;TYGA;TASTE;October 26, 2018;LAST KINGS MUSIC / EMPIRE;SINGLEMORE DETAILS ;May 16, 2018; None;Digital;3 Million ;R&B/HIP HOP
108605;Platinum;ELLIE GOULDING;ANYTHING COULD HAPPEN;October 25, 2018;CHERRY TREE / INTERSCOPE;SINGLEMORE DETAILS ;August 21, 2012; None;Digital;2 Million ;POP
108781;Gold;LIL PEEP & XXXTENTACION;FALLING DOWN;October 25, 2018;COLUMBIA;SINGLEMORE DETAILS ;September 19, 2018; None;Digital;0.5 Million ;R&B/HIP HOP
108669;Platinum;ELLIE GOULDING;ON MY MIND;October 25, 2018;CHERRYTREE / INTERSCOPE ;SINGLEMORE DETAILS ;September 17, 2015; None;Digital;2 Million ;POP
108690;Gold;ELLIE GOULDING;YOUR SONG;October 25, 2018;CHERRY TREE / INTERSCOPE;SINGLEMORE DETAILS ;February 26, 2010; None;Digital;0.5 Million ;POP
108694;Platinum;ELLIE GOULDING;DELIRIUM;October 25, 2018;INTERSCOPE;ALBUMMORE DETAILS ;November 13, 2015; None;Standard;1 Million ;POP
108649;Platinum;ELLIE GOULDING;LOVE ME LIKE YOU DO;October 25, 2018;INTERSCOPE;SINGLEMORE DETAILS ;January 7, 2015;SOLO;Digital;5 Million ;POP
108614;Platinum;ELLIE GOULDING;BURN;October 25, 2018;CHERRYTREE / INTERSCOPE ;SINGLEMORE DETAILS ;July 22, 2013; None;Digital;4 Million ;POP
108699;Platinum;ELLIE GOULDING;HALCYON;October 25, 2018;CHERRY TREE / INTERSCOPE;ALBUMMORE DETAILS ;October 9, 2012; None;Standard;1 Million ;POP
108700;Platinum;ELLIE GOULDING;LIGHTS;October 25, 2018;CHERRY TREE / INTERSCOPE;ALBUMMORE DETAILS ;February 26, 2010; None;Standard;1 Million ;POP
108680;Gold;ELLIE GOULDING;SOMETHING IN THE WAY YOU MOVE;October 25, 2018;INTERSCOPE;SINGLEMORE DETAILS ;November 13, 2015; None;Digital;0.5 Million ;POP
108607;Gold;ELLIE GOULDING;BEATING HEART (FROM DIVERGENT);October 25, 2018;INTERSCOPE;SINGLEMORE DETAILS ;January 1, 2014; None;Digital;0.5 Million ;SOUNDTRACK
108681;Gold;ELLIE GOULDING;STARRY EYED;October 25, 2018;CHERRY TREE / INTERSCOPE;SINGLEMORE DETAILS ;February 26, 2010; None;Digital;0.5 Million ;POP
108659;Platinum;FUTURE;LOW LIFE (FEAT. THE WEEKND);October 24, 2018;EPIC/FREEBANDZ/A1;SINGLEMORE DETAILS ;February 5, 2016;SOLO;Digital;5 Million ;R&B/HIP HOP
108663;Platinum;MEGHAN TRAINOR;ME TOO;October 24, 2018;EPIC;SINGLEMORE DETAILS ;May 5, 2016; None;Digital;3 Million ;POP
108665;Platinum;DJ KHALED;NO BRAINER (FEAT. JUSTIN BIEBER, CHANCE THE RAPPER, & QUAVO);October 24, 2018;EPIC;SINGLEMORE DETAILS ;July 27, 2018;SOLO;Digital;1 Million ;R&B/HIP HOP
108672;Platinum;OFFSET & METRO BOOMIN;RIC FLAIR DRIP;October 24, 2018;SLAUGHTER GANG / EPIC / QUALITY CONTROL MUSIC / MOTOWN RECORDS / CAPITOL RECORDS / BOOMINATI WORLDWIDE / REPUBLIC RECORDS;SINGLEMORE DETAILS ;October 31, 2017; None;Digital;3 Million ;R&B/HIP HOP
108677;Platinum;TRAVIS SCOTT;SICKO MODE;October 24, 2018;EPIC;SINGLEMORE DETAILS ;August 21, 2018; None;Digital;2 Million ;R&B/HIP HOP
108692;Gold;CARRIE UNDERWOOD;CRY PRETTY;October 23, 2018;CAPITOL RECORDS NASHVILLE;ALBUMMORE DETAILS ;September 14, 2018;SOLO;Standard;0.5 Million ;COUNTRY
108630;Gold;KANYE WEST;GHOST TOWN;October 23, 2018;G.O.O.D MUSIC / DEF JAM RECORDINGS;SINGLEMORE DETAILS ;June 1, 2018;SOLO;Digital;0.5 Million ;R&B/HIP HOP
108686;Platinum;ELLA MAI;TRIP;October 23, 2018;10 SUMMERS RECORDS / INTERSCOPE RECORDS;SINGLEMORE DETAILS ;August 3, 2018; None;Digital;1 Million ;R&B/HIP HOP
108695;Gold;ELLA MAI;ELLA MAI;October 23, 2018;10 SUMMERS RECORDS / INTERSCOPE RECORDS;ALBUMMORE DETAILS ;October 12, 2018; None;Standard;0.5 Million ;R&B/HIP HOP
108703;Platinum;REIK & MALUMA;AMIGOS CON DERECHOS;October 23, 2018;SONY LATIN;SINGLEMORE DETAILS ;August 31, 2018; None;Latin;0.06 Million ;LATIN
108619;Gold;MARTIN GARRIX;DON'T LOOK DOWN;October 23, 2018;RCA;SINGLEMORE DETAILS ;March 17, 2018; None;Digital;0.5 Million ;DANCE/ELEC
108800;Platinum;MAREN MORRIS;MY CHURCH;October 22, 2018;COLUMBIA NASHVILLE / BIG YELLOW DOG MUSIC;SINGLEMORE DETAILS ;July 1, 2015; None;Digital;2 Million ;COUNTRY
108754;Platinum;MAREN MORRIS;80S MERCEDES;October 22, 2018;COLUMBIA NASHVILLE;SINGLEMORE DETAILS ;November 6, 2015; None;Digital;1 Million ;COUNTRY
108789;Platinum;MAREN MORRIS;I COULD USE A LOVE SONG;October 22, 2018;COLUMBIA NASHVILLE;SINGLEMORE DETAILS ;June 3, 2016; None;Digital;1 Million ;COUNTRY
108684;Platinum;YG;TOOT IT AND BOOT IT;October 18, 2018;DEF JAM;SINGLEMORE DETAILS ;June 8, 2010; None;Digital;1 Million ;R&B/HIP HOP
108606;Gold;NICKI MINAJ;BARBIE DREAMS;October 17, 2018;YOUNG MONEY / CASH MONEY / REPUBLIC RECORDS;SINGLEMORE DETAILS ;August 10, 2018;SOLO;Digital;0.5 Million ;R&B/HIP HOP
108712;Platinum;MATT HUNTER, LELE PONS;DICEN;October 17, 2018;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;May 4, 2018; None;Latin;0.12 Million ;LATIN
108720;Platinum;THALIA & NATTI NATASHA;NO ME ACUERDO;October 17, 2018;SONY LATIN;SINGLEMORE DETAILS ;June 1, 2018; None;Latin;0.24 Million ;LATIN
108725;Platinum;JUSTIN QUILES;NO QUIERO AMARTE (FEAT. ZION & LENNOX);October 17, 2018;WARNER MUSIC LATINA;SINGLEMORE DETAILS ;April 20, 2018; None;Latin;0.06 Million ;LATIN
108629;Gold;H.E.R.;FOCUS;October 17, 2018;RCA;SINGLEMORE DETAILS ;October 20, 2017; None;Digital;0.5 Million ; None
108608;Gold;NICKI MINAJ;BED;October 16, 2018;YOUNG MONEY / CASH MONEY / REPUBLIC RECORDS;SINGLEMORE DETAILS ;June 14, 2018;SOLO;Digital;0.5 Million ;R&B/HIP HOP
108628;Platinum;SURVIVOR;EYE OF THE TIGER;October 16, 2018;RCA;SINGLEMORE DETAILS ;October 1, 2003;GROUP;Digital;8 Million ; None
108702;Gold;SARA EVANS;STRONGER;October 16, 2018;RCA NASHVILLE;ALBUMMORE DETAILS ;March 7, 2011;SOLO;Standard;0.5 Million ;COUNTRY
